SingleStream-Timestep1-Layer14-Rank1: 298.6258544921875ms
SingleStream-Timestep1-Layer15-Rank3: 297.5203552246094ms
SingleStream-Timestep1-Layer15-Rank2: 297.5374450683594ms
SingleStream-Timestep1-Layer15-Rank0: 297.7303466796875ms
SingleStream-Timestep1-Layer15-Rank1: 297.6525573730469ms
SingleStream-Timestep1-Layer16-Rank1: 297.9645080566406ms
SingleStream-Timestep1-Layer16-Rank0: 297.6888122558594ms
SingleStream-Timestep1-Layer16-Rank2: 297.86822509765625ms
SingleStream-Timestep1-Layer16-Rank3: 298.30255126953125ms
SingleStream-Timestep1-Layer17-Rank1: 298.0334777832031ms
SingleStream-Timestep1-Layer17-Rank3: 297.9383850097656ms
SingleStream-Timestep1-Layer17-Rank2: 297.9534606933594ms
SingleStream-Timestep1-Layer17-Rank0: 298.07098388671875ms
SingleStream-Timestep1-Layer18-Rank0: 295.1273193359375ms
SingleStream-Timestep1-Layer18-Rank3: 295.14739990234375ms
SingleStream-Timestep1-Layer18-Rank2: 295.2860412597656ms
SingleStream-Timestep1-Layer18-Rank1: 295.5724182128906ms
SingleStream-Timestep1-Layer19-Rank3: 299.1218566894531ms
SingleStream-Timestep1-Layer19-Rank0: 299.369873046875ms
SingleStream-Timestep1-Layer19-Rank2: 299.3074951171875ms
SingleStream-Timestep1-Layer19-Rank1: 299.2611389160156ms
SingleStream-Timestep1-Layer20-Rank3: 295.2176208496094ms
SingleStream-Timestep1-Layer20-Rank0: 295.07861328125ms
SingleStream-Timestep1-Layer20-Rank2: 295.0225524902344ms
SingleStream-Timestep1-Layer20-Rank1: 294.9737854003906ms
SingleStream-Timestep1-Layer21-Rank3: 299.1431884765625ms
SingleStream-Timestep1-Layer21-Rank1: 298.9642028808594ms
SingleStream-Timestep1-Layer21-Rank2: 298.9578552246094ms
SingleStream-Timestep1-Layer21-Rank0: 298.9412536621094ms
SingleStream-Timestep1-Layer22-Rank0: 299.83477783203125ms
